Participant_ID,Stimulus_ID,AOI_Label,Fixation_Count,Fixation_Duration_ms,Dwell_Time_ms,Time_to_First_Fixation_ms,First_Fixation_Duration_ms,Saccade_Count,Gaze_Path_Length_px,Average_Pupil_Diameter_mm,Blink_Rate_per_s,Entry_Time_s,Exit_Time_s,Condition
P0001,Stim_11,CTA_Button,8.0,131.9320554260782,917.5868315309474,163.9575293601773,374.7040532305049,21.0,4880.913723627877,5.407465615791912,0.5963968668921821,14.778223259407158,18.03266516171603,Control
P0002,Stim_20,Content,61.0,78.90724745399255,721.798032180802,589.3916969623572,73.15309943909365,20.0,10892.165170282828,4.518351586117226,0.2816298301527413,13.003680858966007,16.876144947301153,Design_B
P0003,Stim_2,CTA_Button,15.0,300.4750386214791,1196.5967190360575,6.370029015006388,191.0416987144212,12.0,9441.839805455333,4.28464017753411,0.4560424284046269,13.63257365562925,22.113878518085205,Design_A
P0004,,Navigation,15.0,264.83960338333503,434.71672129802636,2.294201778156527,108.12573682178056,11.0,11418.279742987064,4.910088161928666,0.2090254386650081,16.868720495695566,16.970598799684836,Design_A
P0005,Stim_7,Content,21.0,298.1787100123108,686.2836060330047,77.85330412658182,247.00389653399498,11.0,13948.704878160777,3.847217230404581,0.6297450466767432,2.667308899088918,29.471391665639747,Design_B
P0006,Stim_13,Header,23.0,128.2441114813422,1482.7786742048381,24.038784316340525,245.90438335942315,17.0,22878.209902815226,3.864324453378672,0.9407651811107629,4.2659595143064895,9.855724647422521,Design_A
P0007,Stim_11,CTA_Button,7.0,197.2511825959256,937.215829374694,121.42392261160579,97.00573350802115,17.0,6072.873072049095,3.9916527398405055,0.6331178774143066,7.253775005670466,22.623593889895417,Design_A
P0008,Stim_10,Navigation,68.0,357.1534743486488,9728.205272162151,14.095783876058777,139.0400951331732,14.0,14445.851189682895,3.607839351657871,0.4707174117666629,7.635908750963527,11.567297298959971,Control
P0009,Stim_16,CTA_Button,17.0,119.67363860819864,730.0594992976746,15.4456943445804,183.6288384916307,10.0,4811.268703170407,3.0,0.47239304642852364,7.662671107551486,12.109720427795834,Design_A
P0010,Stim_10,Content,10.0,264.59102161560753,1050.826559807865,6.711628501658991,93.41415465451682,12.0,3821.641925674022,4.188454304039386,0.4235172566283303,13.025463527950746,,Design_A
