User_ID,Cohort_Date,Feature_Name,Feature_Used,Days_Since_Launch,Usage_Count,Retention_Day_1,Retention_Day_7,Retention_Day_30,Session_Length_s,Engagement_Score,Subscription_Status,Region,Device_Type
U00001,2024-01-05,Export_Data,1.0,54.0,9.0,1.0,0.0,0.0,73.42178864158593,63.81768673497776,0.0,Other,Desktop
U00002,2024-01-17,Notifications,1.0,,7.0,1.0,0.0,0.0,127.29925666817996,70.77017401664459,0.0,EU,Tablet
U00003,2024-01-21,Search,1.0,45.0,3.0,1.0,1.0,1.0,47.50699295841497,89.4642473135508,1.0,US,Desktop
U00004,2024-01-13,Export_Data,0.0,4.0,0.0,1.0,1.0,1.0,109.31984944959228,19.644190578210257,0.0,EU,Desktop
U00005,2024-01-02,,1.0,19.0,4.0,0.0,0.0,0.0,169.72465140183309,34.60344416227519,0.0,EU,Desktop
U00006,2024-01-06,Search,1.0,28.0,,0.0,0.0,0.0,30.268126725927193,73.05458723215922,0.0,US,Desktop
U00007,2024-01-16,Profile_Edit,1.0,26.0,5.0,1.0,0.0,0.0,78.20674719586752,63.54366952742729,0.0,ASIA,Desktop
U00008,2024-01-24,Profile_Edit,1.0,19.0,5.0,0.0,0.0,0.0,42.69782021957593,37.64378634883459,1.0,EU,Tablet
U00009,2024-01-02,Notifications,0.0,0.0,0.0,1.0,1.0,1.0,37.106878983943375,24.97322996649151,0.0,ASIA,Desktop
U00010,2024-01-21,Dark_Mode,0.0,1.0,0.0,1.0,0.0,0.0,432.81987172202776,44.108485053702346,0.0,ASIA,Desktop
U00011,2024-01-05,Dark_Mode,1.0,56.0,10.0,1.0,,0.0,48.71140246553231,88.45312687479228,0.0,Other,Desktop
U00012,2024-01-09,Profile_Edit,1.0,9.0,1.0,0.0,0.0,0.0,16.661395009665096,93.55076000615314,1.0,EU,Desktop
U00013,2024-01-04,Search,0.0,20.0,0.0,1.0,1.0,0.0,43.651094749067454,49.594573171480874,1.0,EU,Tablet
U00014,2024-01-20,Notifications,0.0,52.0,0.0,1.0,0.0,0.0,109.37464180665619,28.620226669604275,0.0,EU,Tablet
U00015,2024-01-16,Dark_Mode,1.0,44.0,4.0,0.0,0.0,0.0,27.655087540631353,53.692513721788934,1.0,US,Mobile
U00016,2024-01-25,Notifications,0.0,32.0,0.0,0.0,0.0,0.0,71.61620287806215,32.97656996059431,0.0,ASIA,Desktop
U00017,2024-01-20,Dark_Mode,1.0,8.0,3.0,1.0,0.0,0.0,38.528961316868404,88.00615954231009,0.0,ASIA,Mobile
