User_ID,Session_ID,Timestamp,Event_Type,Event_Target,Click_X,Click_Y,Scroll_Depth_%,Dwell_Time_ms,Time_on_Page_s,Session_Length_s,Device_Type,Browser,Network_Speed_Mbps,Error_Code,Conversion
U00211,U00211_S1,2024-02-02 16:52:41,hover,element_42,1485.0,527.0,,699.7997768265893,25.83981677845611,108.01474405469675,Tablet,Firefox,130.0504593100251,None,0.0
U00161,U00161_S3,2024-01-17 01:22:07,scroll,element_21,,,50.0,,24.03285153284891,17.39643858121438,Tablet,Chrome,13.657950696184315,500,0.0
U00935,U00935_S3,2024-01-15 14:39:56,scroll,element_24,,,89.0,,3.5550740113224086,62.069854212349725,Tablet,Chrome,68.27263341406994,Timeout,0.0
U00453,U00453_S3,2024-02-05 03:19:59,hover,element_38,1416.0,54.0,,609.2803319960294,71.05057845255834,479.40884580984715,Mobile,,81.78887190628917,None,0.0
U00614,U00614_S2,2024-03-22 20:00:48,scroll,element_44,,,11.0,,5.145182958422122,36.39709992314839,Desktop,Safari,14.649109614499565,404,0.0
U00804,U00804_S1,2024-02-26 05:01:38,page_view,element_48,,,,764.0188800771698,14.916000722831726,56.4982901955178,Mobile,Edge,37.52936684251822,,0.0
U00377,U00377_S1,2024-01-27 21:13:53,page_view,element_13,,,,478.36479205346694,11.64184145103623,65.02640843978713,Desktop,Chrome,17.17456990092567,Timeout,1.0
U00762,U00762_S2,2024-01-23 08:46:44,page_view,element_30,,,,195.31700085286477,13.605092572030944,41.78881494002292,Desktop,Safari,38.542434428066706,None,0.0
U00059,U00059_S3,2024-01-26 00:47:06,page_view,element_16,,,,6389.266001658107,15.38554053761816,21.4055553127926,Desktop,Firefox,31.405095339397445,404,0.0
U00016,U00016_S1,2024-02-08 21:08:26,form_submit,element_14,,,,,72.34276828776581,31.18432052008115,Desktop,Safari,24.841609378467716,None,0.0
U00929,U00929_S1,2024-02-28 03:03:31,hover,element_7,75.0,157.0,,1459.668993934041,51.62487311987503,27.986845001693684,Tablet,Chrome,21.204891606335575,None,
U00312,U00312_S1,2024-01-31 13:17:07,page_view,element_22,,,,1151.264192357606,,21.371025038904726,Mobile,Chrome,17.32213758787678,None,0.0
U00758,U00758_S3,2024-02-24 00:14:54,click,element_7,243.0,985.0,,,65.07014862396902,86.6477915961558,Desktop,Edge,29.19105536568935,None,0.0
