Player_ID,Session_ID,Level_Number,Play_Duration_s,Actions_Per_Minute,Deaths,Score,XP_Gained,Time_in_Menu_s,Item_Used,Game_Mode,Engagement_Score,Session_Success
Player_0040,Player_0040_S4,1.0,38.62740349905357,50.0,,63720.73719124177,3435.9953859914535,19.934163538459753,Health_Potion,Cooperative,86.26135122382608,1.0
Player_0170,Player_0170_S1,8.0,71.57399128417724,33.0,1.0,48850.01108631478,4268.553281434873,8.181081728139105,None,Solo,42.6609812289384,1.0
Player_0061,Player_0061_S1,2.0,21.74965884887163,34.0,2.0,7111.97521416618,4309.228951302133,22.75019502438247,Mana_Potion,Solo,70.39350251903275,1.0
Player_0148,,7.0,209.95983067682198,40.0,0.0,21460.32985438264,1700.5305709616755,34.64975834759233,Mana_Potion,Competitive,,0.0
Player_0109,Player_0109_S3,17.0,233.52421365958836,53.0,1.0,9287.08888603368,1927.9446785106213,37.94692598103957,Health_Potion,Cooperative,34.095195028075715,1.0
Player_0196,Player_0196_S3,5.0,78.62328680383018,52.0,1.0,64022.301754985936,7047.95983040247,50.95033713105346,Shield,Solo,52.21168536064983,0.0
,Player_0177_S2,3.0,124.29683864949266,44.0,3.0,12942.262535736427,2052.134176547349,6.48457422122912,Grenade,Solo,72.48502934148435,1.0
Player_0056,Player_0056_S3,17.0,278.5243376303573,42.0,1.0,5538.396684714009,504.8440074993759,6.083644614951254,Mana_Potion,Cooperative,88.01903119445578,1.0
Player_0160,Player_0160_S2,18.0,78.99109089158185,42.0,1.0,35701.49393688783,3769.4679138619786,24.147128808017683,Mana_Potion,,82.52155941780343,1.0
Player_0063,Player_0063_S4,14.0,90.59612041461541,43.0,2.0,42844.474004556665,2627.0002305030966,62.310629072087366,Grenade,Solo,69.64734861916857,1.0
Player_0104,Player_0104_S3,10.0,602.2544305753938,40.0,1.0,2468.9869454921054,1809.470638337349,20.01116213676418,Shield,Solo,63.78781534986972,0.0
Player_0149,Player_0149_S1,9.0,,54.0,,32441.705789735366,1854.2491983550792,13.7959398960341,Shield,Cooperative,66.9992653236858,1.0
Player_0043,Player_0043_S1,8.0,220.26791171380563,46.0,4.0,3514.8059637284587,914.8606442835994,25.056279230005707,Shield,Solo,68.03270934818997,1.0
Player_0174,Player_0174_S2,5.0,41.44789774192418,44.0,1.0,36670.024587523,2052.2993403780742,43.30206016039396,Mana_Potion,Solo,58.26890797712384,1.0
Player_0106,Player_0106_S3,3.0,254.98160765875977,38.0,0.0,21536.40049617856,2486.0333425955614,26.911162663431043,None,Competitive,89.54612666308772,1.0
Player_0059,Player_0059_S4,17.0,2512.447082754518,47.0,1.0,7571.289286091981,2352.5925188779443,11.441071663118544,Grenade,Cooperative,94.49549429426531,1.0
Player_0063,Player_0063_S3,6.0,41.81069295459245,59.0,5.0,54750.717374932465,4574.661839055161,36.263166781902775,Grenade,Competitive,60.57067282823143,0.0
Player_0195,Player_0195_S1,6.0,98.09127727975627,57.0,2.0,12470.227798953018,8947.553164030722,83.46640935916284,,Competitive,83.45456528451483,1.0
Player_0070,Player_0070_S1,1.0,209.71736274088062,46.0,5.0,20723.02627108721,150.2483606920204,65.28910801074056,Grenade,Solo,44.522027102654974,1.0
